Date : 2023-06-09 13:07:10
Directory : c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan
Total : 167 files,  36818 codes, 1289 comments, 2337 blanks, all 40444 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\group\GroupCard.vue                  | vue                |        218 |          9 |         21 |        248 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\group\GroupCardWithTopic.vue         | vue                |        308 |          9 |         34 |        351 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\group\GroupCreateBar.vue             | vue                |        280 |         20 |         27 |        327 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\group\GroupList.vue                  | vue                |        117 |          9 |         11 |        137 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\CommentUnderFloor.vue           | vue                |        158 |          5 |         20 |        183 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PictureChooser.vue              | vue                |         90 |          7 |          2 |         99 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostCard.vue                    | vue                |        458 |         10 |         38 |        506 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostCardText.vue                | vue                |        133 |          4 |         10 |        147 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostCardUserInfo.vue            | vue                |         56 |          0 |          6 |         62 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostCreateBar.vue               | vue                |        270 |         14 |         26 |        310 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostFloor.vue                   | vue                |        238 |         14 |         22 |        274 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostReplyBar.vue                | vue                |        316 |          8 |         31 |        355 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostSortLabel.vue               | vue                |         63 |          1 |          6 |         70 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\ReportInputBox.vue              | vue                |        336 |         39 |         32 |        407 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\CommentReplyInputBox.vue | vue                |        162 |          3 |         10 |        175 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\FloorReportButton.vue    | vue                |         73 |          1 |          6 |         80 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\LikeButtonGroup.vue      | vue                |        219 |          1 |          9 |        229 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\LikeFavButtonGroup.vue   | vue                |        355 |         11 |         25 |        391 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\OnlyLzButton.vue         | vue                |         91 |          0 |          6 |         97 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\OnlySelectButton.vue     | vue                |         98 |          6 |         10 |        114 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\PostOperateButton.vue    | vue                |        232 |          0 |         20 |        252 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\PostReportButton.vue     | vue                |         77 |          1 |          6 |         84 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\PostTopicButton.vue      | vue                |         79 |          1 |          6 |         86 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\ScrollToTopButton.vue    | vue                |         34 |          2 |          3 |         39 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentCardUserInfo.vue       | vue                |         52 |          0 |          6 |         58 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentFirstLevel.vue         | vue                |        143 |         10 |          4 |        157 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentReply.vue              | vue                |        127 |          3 |          9 |        139 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentSecondLevel.vue        | vue                |        147 |          3 |         11 |        161 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentSection.vue            | vue                |        104 |          0 |          6 |        110 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\topic\ContentSizerSideNavBar.vue     | vue                |        109 |          5 |         11 |        125 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\topic\TopicCard.vue                  | vue                |        227 |          1 |         18 |        246 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\topic\TopicCardMini.vue              | vue                |        217 |          1 |         19 |        237 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\topic\TopicCreateBar.vue             | vue                |        281 |         20 |         29 |        330 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\topic\TopicHotList.vue               | vue                |         67 |          2 |          5 |         74 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\topic\TopicNormalList.vue            | vue                |         17 |          1 |          3 |         21 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\main.js                                         | JavaScript         |         41 |         13 |         18 |         72 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\router\index.js                                 | JavaScript         |        317 |         64 |         15 |        396 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\store\group.js                                  | JavaScript         |        194 |        133 |          4 |        331 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\store\index.js                                  | JavaScript         |         18 |          2 |          5 |         25 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\store\post.js                                   | JavaScript         |        448 |        464 |          4 |        916 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\store\topic.js                                  | JavaScript         |        209 |        121 |          3 |        333 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\store\upload.js                                 | JavaScript         |          9 |          1 |          3 |         13 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\store\user.js                                   | JavaScript         |         84 |         28 |          2 |        114 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\AboutView.vue                             | vue                |          5 |          0 |          0 |          5 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\BookHomeView.vue                          | vue                |          9 |          0 |          4 |         13 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\BookModule.vue                            | vue                |        162 |          3 |         12 |        177 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Book\BookCategory.vue                     | vue                |        155 |          0 |          9 |        164 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Book\BookDefault.vue                      | vue                |         65 |          0 |          4 |         69 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Book\BookDetail.vue                       | vue                |        503 |          9 |         56 |        568 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Book\BookHomeView.vue                     | vue                |        155 |          2 |         18 |        175 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Book\BookList.vue                         | vue                |         99 |          8 |         12 |        119 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Book\BookRankBoard.vue                    | vue                |         16 |          0 |          3 |         19 |
| c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\ButtonForMore.vue                         | vue                |         54 |          0 |          4 |         58 |
