"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "vue", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\ChangePassword.vue", "vue", 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\ChoiceMenu.vue", "vue", 0, 0, 0, 0, 76, 0, 0, 0, 8, 84
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\FilmHomeView.vue", "vue", 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\FilmModule.vue", "vue", 0, 0, 0, 0, 166, 0, 0, 0, 15, 181
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\GroupCartoon.vue", "vue", 0, 0, 0, 0, 210, 0, 0, 0, 32, 242
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\GroupMiniCard.vue", "vue", 0, 0, 0, 0, 76, 0, 0, 0, 11, 87
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\GroupNewCartoon.vue", "vue", 0, 0, 0, 0, 626, 0, 0, 0, 115, 741
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\GroupShowCard.vue", "vue", 0, 0, 0, 0, 115, 0, 0, 0, 10, 125
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Group\GroupAdminMatterList.vue", "vue", 0, 0, 0, 0, 68, 0, 0, 0, 8, 76
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Group\GroupHomePostList.vue", "vue", 0, 0, 0, 0, 156, 0, 0, 9, 13, 178
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Group\GroupHomeView.vue", "vue", 0, 0, 0, 0, 258, 0, 0, 10, 38, 306
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Group\GroupMemberList.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Group\GroupPage.vue", "vue", 0, 0, 0, 0, 498, 0, 0, 15, 40, 553
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Group\GroupPostList.vue", "vue", 0, 0, 0, 0, 104, 0, 0, 3, 9, 116
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\HomeModule.vue", "vue", 0, 0, 0, 0, 166, 0, 0, 0, 13, 179
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\HomeView.vue", "vue", 0, 0, 0, 0, 60, 0, 0, 6, 3, 69
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\IndividualMiniCard.vue", "vue", 0, 0, 0, 0, 316, 0, 0, 0, 26, 342
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\LoginBackImage.vue", "vue", 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\LoginModule.vue", "vue", 0, 0, 0, 0, 693, 0, 0, 5, 41, 739
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\LoginView.vue", "vue", 0, 0, 0, 0, 299, 0, 0, 0, 48, 347
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\MessageCardReply.vue", "vue", 0, 0, 0, 0, 173, 0, 0, 0, 23, 196
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\MessageGood.vue", "vue", 0, 0, 0, 0, 126, 0, 0, 0, 16, 142
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Post\Post.vue", "vue", 0, 0, 0, 0, 216, 0, 0, 14, 17, 247
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\RefreshButton.vue", "vue", 0, 0, 0, 0, 67, 0, 0, 0, 9, 76
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Review\ReviewView.vue", "vue", 0, 0, 0, 0, 513, 0, 0, 2, 27, 542
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Review\WriteReview.vue", "vue", 0, 0, 0, 0, 238, 0, 0, 0, 9, 247
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search.vue", "vue", 0, 0, 0, 0, 126, 0, 0, 0, 16, 142
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\views\Search\SearchBar.vue", "vue", 0, 0, 0, 0, 79, 0, 0, 1, 7, 87
